xdata, ydata0, ydata1, ydata2, ydata3
4.060000000E+2 , NaN , NaN , NaN , NaN
4.060000900E+2 , NaN , NaN , NaN , NaN
4.060001800E+2 , NaN , NaN , NaN , NaN
4.060002700E+2 , NaN , NaN , NaN , NaN
4.060003600E+2 , NaN , NaN , NaN , NaN
4.060004500E+2 , NaN , NaN , NaN , NaN
4.060005400E+2 , NaN , NaN , NaN , NaN
4.060006300E+2 , NaN , NaN , NaN , NaN
4.060007200E+2 , NaN , NaN , NaN , NaN
4.060008100E+2 , NaN , NaN , NaN , NaN
4.060009000E+2 , NaN , NaN , NaN , NaN
4.060009900E+2 , NaN , NaN , NaN , NaN
4.060010800E+2 , NaN , NaN , NaN , NaN
4.060011700E+2 , NaN , NaN , NaN , NaN
4.060012600E+2 , NaN , NaN , NaN , NaN
4.060013500E+2 , NaN , NaN , NaN , NaN
4.060014400E+2 , NaN , NaN , NaN , NaN
4.060015300E+2 , NaN , NaN , NaN , NaN
4.060016200E+2 , NaN , NaN , NaN , NaN
4.060017100E+2 , NaN , NaN , NaN , NaN
4.060018000E+2 , NaN , NaN , NaN , NaN
4.060018900E+2 , NaN , NaN , NaN , NaN
4.060019800E+2 , NaN , NaN , NaN , NaN
4.060020700E+2 , NaN , NaN , NaN , NaN
4.060021600E+2 , NaN , NaN , NaN , NaN
4.060022500E+2 , NaN , NaN , NaN , NaN
4.060023400E+2 , NaN , NaN , NaN , NaN
4.060024300E+2 , NaN , NaN , NaN , NaN
4.060025200E+2 , NaN , NaN , NaN , NaN
4.060026100E+2 , NaN , NaN , NaN , NaN
4.060027000E+2 , NaN , NaN , NaN , NaN
4.060027900E+2 , NaN , NaN , NaN , NaN
4.060028800E+2 , NaN , NaN , NaN , NaN
4.060029700E+2 , NaN , NaN , NaN , NaN
4.060030600E+2 , NaN , NaN , NaN , NaN
4.060031500E+2 , NaN , NaN , NaN , NaN
4.060032400E+2 , NaN , NaN , NaN , NaN
4.060033300E+2 , NaN , NaN , NaN , NaN
4.060034200E+2 , NaN , NaN , NaN , NaN
4.060035100E+2 , NaN , NaN , NaN , NaN
4.060036000E+2 , NaN , NaN , NaN , NaN
4.060036900E+2 , NaN , NaN , NaN , NaN
4.060037800E+2 , NaN , NaN , NaN , NaN
4.060038700E+2 , NaN , NaN , NaN , NaN
4.060039600E+2 , NaN , NaN , NaN , NaN
4.060040500E+2 , NaN , NaN , NaN , NaN
4.060041400E+2 , NaN , NaN , NaN , NaN
4.060042300E+2 , NaN , NaN , NaN , NaN
4.060043200E+2 , NaN , NaN , NaN , NaN
4.060044100E+2 , NaN , NaN , NaN , NaN
4.060045000E+2 , NaN , NaN , NaN , NaN
4.060045900E+2 , NaN , NaN , NaN , NaN
4.060046800E+2 , NaN , NaN , NaN , NaN
4.060047700E+2 , NaN , NaN , NaN , NaN
4.060048600E+2 , NaN , NaN , NaN , NaN
4.060049500E+2 , NaN , NaN , NaN , NaN
